ET,NEE,dayind
0.549042926,-1.564916361,92
0.569984943,-1.146821426,93
0.321005412,-1.314675608,94
0.641649761,-1.535800544,95
0.530189522,-1.26033143,96
0.37933727,-1.084668177,97
0.492095729,-1.035915744,98
0.435470074,-1.420902333,99
0.366370807,-0.936284355,100
1.233346453,-1.116495981,101
0.637536736,-1.179074492,102
0.580770199,-1.210343425,103
0.460792462,-1.227289889,104
0.455483348,-0.905617966,105
0.456267918,-0.451020593,106
0.380932738,-0.652798619,107
0.797016846,-0.825251764,108
1.841810144,-0.711706736,109
1.089405694,-0.41939796,110
0.770081643,-0.687456671,111
0.603025301,-0.92626228,112
0.599136939,-0.650082956,113
0.553719248,-0.624403606,114
0.498721005,-0.832764644,115
0.570863336,-1.274891284,116
0.403136277,-0.845802249,117
0.38678968,-1.275204123,118
0.44846607,-0.974557454,119
0.381783681,-0.400102505,120
0.356377424,-0.381976897,121
0.318997224,-1.191122775,122
0.298096336,-1.259521552,123
0.331548502,-1.021505282,124
0.276386524,-0.652613553,125
0.353286548,-0.689218037,126
0.347720237,-0.714605952,127
0.322555194,-0.781167911,128
0.408262986,-0.922312343,129
0.28580925,-0.64401644,130
0.359876623,-0.681557277,131
0.489610102,-0.775473255,132
0.388392945,-0.374153124,133
0.390033767,-0.587563683,134
1.17818121,-0.375331835,135
0.630935771,-0.113872351,136
1.755919908,-0.933457782,137
1.317309526,-0.540411764,138
1.21420806,0.050392727,139
1.051235624,0.441117211,140
0.768484823,0.267967908,141
0.686232412,0.246315895,142
1.809837729,-0.610186209,143
2.412889138,-0.601226315,144
1.440819648,-0.826246491,145
0.888292411,-0.191780165,146
0.608931194,-0.190788249,147
0.536104709,-0.298600571,148
0.442586832,-0.167248611,149
0.774951671,-0.242454599,150
0.407061532,-0.345186267,151
0.462883118,-0.024945574,152
0.423350905,0.174406494,153
0.36894935,0.045152088,154
0.336266891,-0.238368456,155
0.413353721,0.137482903,156
0.285626176,-0.985086729,157
0.400148301,-0.442722914,158
0.315096534,0.057374409,159
0.27176554,-0.179913273,160
0.427814544,-0.341980267,161
0.417503125,0.063426656,162
0.298584168,-0.173093524,163
0.322592156,-0.463638773,164
0.288592668,-0.223914323,165
0.302168884,-0.063664906,166
0.26268457,0.046519107,167
0.34456977,0.308506114,168
0.644176995,0.093072807,169
0.553082907,0.076659703,170
0.612280988,0.090773757,171
0.679167237,0.044730069,172
1.09568296,-0.015972276,173
0.83162017,-0.263115344,174
0.575966484,-0.134964844,175
0.541857436,-0.355494155,176
0.492971674,-0.348546416,177
0.379948637,-0.217708792,178
0.375777981,-0.185044084,179
0.611197023,0.13000656,180
0.777600731,-0.368093958,181
0.964696085,-0.237773047,182
1.458899005,-0.184211722,183
0.707067678,-0.217372388,184
0.990226968,-0.172768578,185
0.787271386,-0.178805691,186
0.698165281,-0.159208423,187
0.458202225,0.076901845,188
1.402749774,0.297514824,189
1.419551631,0.11321965,190
1.33855433,0.99854419,191
1.089930498,1.136243507,192
1.670092519,0.892408916,193
1.451310297,0.676605261,194
1.429231026,0.872630475,195
2.099669621,1.491027019,196
2.157958051,1.586444709,197
2.088627143,1.37852666,198
1.832198335,0.955017911,199
1.24850063,0.749999942,200
1.438937792,0.867858769,201
2.064779269,0.563880705,202
1.644383472,0.656686075,203
1.358747945,0.096326803,204
1.501905212,0.415499262,205
1.196639656,0.393449227,206
1.009163511,0.021889399,207
1.46198489,1.057830222,208
3.380974421,1.080322164,209
2.823581746,1.431253893,210
1.92764976,0.764480236,211
1.343612579,0.548843053,212
1.913815919,0.723636974,213
1.931869969,0.733695803,214
1.401156762,0.3445407,215
0.903175417,0.102159392,216
0.960186351,-0.230983781,217
1.751352401,1.293838877,218
3.179750459,0.594920252,219
2.143771601,0.594404187,220
2.492631206,0.722578469,221
2.59214668,0.649718446,222
2.453344554,0.979418666,223
3.302610162,0.649370367,224
2.499208693,-0.061128471,225
2.059687682,0.161790692,226
2.042889115,-0.093897602,227
1.956443792,-0.508307442,228
1.86327487,0.323479123,229
2.928230055,-0.261985926,230
2.869131667,-0.728914368,231
2.301176159,-0.58856749,232
2.60798758,-0.508413379,233
2.599426627,0.195110047,234
2.512048347,0.037693689,235
1.87992745,-0.655486392,236
1.559145291,-1.042175973,237
1.780468131,-1.320069748,238
1.446634058,-0.852855708,239
1.12631566,-1.220686122,240
1.365566647,-0.52007618,241
1.086120696,-0.855098114,242
1.268961543,-1.520316227,243
2.11856185,-0.025919978,244
2.826564191,0.306621084,245
2.008881685,-0.220091077,246
1.88133462,-0.316618079,247
2.191343146,-0.162530522,248
1.89214677,-0.132416086,249
1.54502413,-0.01248738,250
1.218540641,-0.275298101,251
1.769190013,-0.036949319,252
2.273300798,-0.116492455,253
2.818986836,-0.214300863,254
0.812942042,1.244722799,255
2.354029935,-0.046114169,256
2.306309933,-0.630897329,257
1.578618773,-1.077932095,258
1.508494271,-1.118828109,259
