Date,TA_F_avg,VPD_F_avg,P_F_sum,shall_swc_interp,deep_swc_interp,PAR,VPD_F_min,VPD_F_max
1/1/2008,-6.814938936,0.295094213,0,NA,NA,NA,0.161228,0.494694
1/2/2008,-3.735211875,0.292624667,0,NA,NA,NA,0.195523,0.515597
1/3/2008,-0.221530417,0.389123292,0,NA,NA,NA,0.228244,0.645422
1/4/2008,2.886227917,0.322233083,0,NA,NA,NA,0.142429,0.523616
1/5/2008,5.249425625,0.334548667,0,NA,NA,NA,0.116569,0.528583
1/6/2008,3.69053,0.213193708,0.90069,NA,NA,NA,0,0.564408
1/7/2008,0.433928542,0.065868688,9.80745,NA,NA,NA,0,0.30951
1/8/2008,-3.179566875,0.155662917,4.30328,NA,NA,NA,0.052305,0.286143
1/9/2008,0.2508125,0.306778708,0,NA,NA,NA,0.146276,0.509737
1/10/2008,-2.188843542,0.2892955,0,NA,NA,NA,0.12742,0.442344
1/11/2008,-0.240157292,0.343422375,0,NA,NA,NA,0.205639,0.628191
1/12/2008,-2.313127292,0.284393938,0,NA,NA,NA,0.138443,0.431382
1/13/2008,-3.537748333,0.256851104,0,NA,NA,NA,0.126445,0.453806
1/14/2008,-3.151775208,0.260527458,0,NA,NA,NA,0.075526,0.492388
1/15/2008,-1.768042083,0.344771958,0,NA,NA,NA,0.12289,0.518534
1/16/2008,-6.724927083,0.204016437,0,NA,NA,NA,0.009036,0.33486
1/17/2008,-10.48323333,0.153870125,0,NA,NA,NA,0.017432,0.280831
1/18/2008,-7.684249792,0.206235542,0,NA,NA,NA,0.117785,0.321555
1/19/2008,-6.172361875,0.229773646,0,NA,NA,NA,0.068158,0.415703
1/20/2008,-1.735120417,0.392156688,0,NA,NA,NA,0.213009,0.638603
1/21/2008,1.301061875,0.469695937,0,NA,NA,NA,0.28842,0.730983
1/22/2008,1.724007083,0.504265542,0,NA,NA,NA,0.313499,0.749
1/23/2008,1.270761875,0.476881708,0,NA,NA,NA,0.222332,0.742716
1/24/2008,-5.443454583,0.037211958,0,NA,NA,NA,0,0.190569
1/25/2008,-0.817533958,0.199956042,0.70053,NA,NA,NA,0.001674,0.449326
1/26/2008,0.772543542,0.415856875,0,NA,NA,NA,0.17424,0.764775
1/27/2008,4.352059375,0.391773979,0,NA,NA,NA,0.168808,0.585227
1/28/2008,4.5338925,0.330834396,1.30099,NA,NA,NA,0.010198,0.750286
1/29/2008,-4.662582083,0.247818542,0.50038,NA,NA,NA,0.016539,0.365259
1/30/2008,-3.498266875,0.235859458,0,NA,NA,NA,0.024043,0.391932
1/31/2008,-7.529956667,0.239750854,0,NA,NA,NA,0.113611,0.353748
2/1/2008,-0.536808125,0.443795729,0,NA,NA,NA,0.255645,0.752761
2/2/2008,1.927255208,0.416168479,0,NA,NA,NA,0.166902,0.749773
2/3/2008,2.954525417,0.424589208,0,NA,NA,NA,0.151127,0.719464
2/4/2008,1.418904583,0.273615062,0,NA,NA,NA,0.007265,0.567354
2/5/2008,-6.902804167,0.063041646,4.40335,NA,NA,NA,0.009172,0.154582
2/6/2008,-5.337227708,0.188075333,0,NA,NA,NA,0.051027,0.363375
2/7/2008,-0.844891875,0.325492542,0,NA,NA,NA,0.175006,0.48696
2/8/2008,2.216252917,0.426861271,0,NA,NA,NA,0.198346,0.664201
2/9/2008,4.249866667,0.602385729,0,NA,NA,NA,0.372935,0.968161
2/10/2008,7.42955,0.766966458,0,NA,NA,NA,0.49999,1.166514
2/11/2008,5.736039167,0.610939833,0,NA,NA,NA,0.385299,0.96154
2/12/2008,3.530322708,0.505309042,0,NA,NA,35585211,0.282668,0.865508
2/13/2008,5.815743333,0.638133167,0,NA,NA,35710043,0.259551,1.037609
2/14/2008,6.983039375,0.738925167,0,NA,NA,33161952,0.326489,1.057434
2/15/2008,-3.031576875,0.124491562,0,NA,NA,26557969,0.005545,0.341818
2/16/2008,-0.867258333,0.178850479,1.60122,NA,NA,26564618,0.004601,0.515993
2/17/2008,0.75075625,0.388634833,0,NA,NA,38041375,0.112328,0.713329
2/18/2008,1.460290417,0.497489667,0,NA,NA,37812570,0.233515,0.802914
2/19/2008,5.531387917,0.700829083,0,NA,NA,33416341,0.419089,1.011255
2/20/2008,5.001207083,0.511155292,1.10084,NA,NA,32248516,0.054876,0.850379
2/21/2008,0.332166667,0.183371396,4.6035,NA,NA,30290492,0.005035,0.360344
2/22/2008,0.184513958,0.145948417,0,NA,NA,35769710,0.003644,0.379419
2/23/2008,1.1775325,0.217633479,7.1054,NA,NA,34911540,0.001906,0.467316
