ET,NEE,dayind
1.976243451,-3.309851932,91
2.173596472,-3.722974097,92
2.088796181,-3.674065785,93
2.331093784,-3.891132685,94
2.141332364,-4.473901529,95
1.560299214,-4.835040397,96
1.943699766,-2.685495241,97
1.785218366,-3.410779428,98
1.989093685,-3.838330431,99
2.28356968,-5.241423454,100
1.229107812,-3.435354655,101
1.354654451,-2.509721511,102
2.255106176,-1.065096636,103
2.3561421,-3.372127118,104
2.526254839,-2.877370966,105
1.921836139,-2.40132632,106
2.340050585,-4.54170641,107
2.461212212,-2.952100021,108
2.356592042,-4.164442846,109
2.705774942,-3.218614214,110
1.710842979,-1.030171795,111
2.561287425,-3.902571289,112
2.154018807,-3.324610689,113
1.798575968,-1.475262077,114
3.10529291,-4.493169959,115
2.196766398,-3.915314864,116
2.8459462,-2.783288515,117
1.621143723,-2.869621998,118
2.543817712,-2.700746281,119
3.165977433,-3.994075795,120
2.308457405,-1.883918888,121
1.828713701,-2.934770887,122
3.509810157,-3.85688022,123
3.436039082,-2.273251273,124
1.723087575,-3.689905099,125
2.012522143,-2.271516068,126
2.865668582,-4.500052622,127
2.09499097,-3.259477366,128
3.349715246,-3.04022384,129
3.317143962,-3.068363523,130
2.227629229,-2.346441215,131
2.832302767,-1.757910262,132
4.147442807,-2.912589621,133
2.951099689,-3.162220696,134
1.984829113,-3.172483398,135
1.828337195,-4.375185522,136
1.923093234,-2.409666806,137
3.116668036,-3.177825002,138
2.729862247,-2.954458742,139
2.733454339,-3.078891717,140
4.821769369,-3.9676791,141
3.379089917,-4.461886973,142
2.760634088,-0.876207471,143
3.810772677,-4.043132851,144
2.481037885,-4.347937439,145
3.407496034,-3.660880734,146
2.907871662,-3.128975497,147
3.626562155,-3.592785931,148
3.679673883,-3.474097985,149
3.247218394,-4.53117173,150
3.145577112,-2.781961276,151
3.43937841,-2.640373422,152
3.014217676,-2.927649541,153
2.817081919,-2.572063718,154
3.224587423,-3.030199603,155
3.211444638,-3.218055775,156
3.573538519,-2.874287983,157
4.176621338,-4.791597787,158
3.860871264,-3.451660308,159
3.007074242,-1.292546229,160
3.812297211,-1.837271359,161
2.521208051,-1.629207376,162
2.023614381,-2.79754353,163
3.195300108,-2.653555446,164
4.232706411,-0.885275463,165
3.332906298,-0.145423207,166
3.180420844,-0.045620589,167
4.098349106,0.700541623,168
3.83195333,1.205798511,169
3.835566288,1.067483462,170
3.394145083,0.742674505,171
2.957387137,1.029970731,172
3.510315561,0.856903151,173
3.693224213,0.806816777,174
4.195446985,0.841627249,175
3.836476816,1.115520064,176
4.082171136,0.694008119,177
3.317654239,-0.254081727,178
3.418957469,-1.07376769,179
3.394010534,-0.544115452,180
3.096617866,0.392549844,181
3.089071511,0.496508868,182
2.985716383,0.425312705,183
3.399395058,0.502452368,184
3.061150876,-0.500537502,185
3.476999842,-0.313664382,186
2.263836827,-0.87957389,187
3.803797474,-0.620275954,188
4.487981981,-0.326955371,189
2.76776567,0.230246978,190
2.956176187,-0.143800857,191
2.437908285,-1.201162577,192
4.147054495,0.066773833,193
3.185412909,-1.209089693,194
4.720871489,-0.253711164,195
4.551203046,-0.39162884,196
4.067955213,0.250760709,197
4.068670892,-0.421010581,198
4.72724337,-0.736790028,199
4.729887061,-1.839868762,200
4.466233153,0.031861099,201
3.467822291,-1.514609032,202
5.088968775,-0.811271969,203
4.802982409,-0.349856792,204
3.514093465,-1.496423537,205
3.092050376,-2.36945333,206
2.55698781,-0.486059154,207
2.595559826,-2.340643,208
4.019503864,-2.210583472,209
2.626127228,-2.227964278,210
2.805416671,-0.914742602,211
2.665221629,-1.901164786,212
3.664864729,-1.499632564,213
2.78887173,-2.113353394,214
2.173244587,-1.964623007,215
2.639375161,-2.247133041,216
3.952504056,-1.778309408,217
3.648436759,-3.523712183,218
4.259407759,-4.131790462,219
3.778967165,-1.985441361,220
3.931594056,-1.141688669,221
3.417746423,-2.558830238,222
3.59523642,-1.224361055,223
3.62033147,-0.156825489,224
3.488756185,-0.409806336,225
3.209993429,-1.495301686,226
2.647642388,-1.268920976,227
2.535164605,-1.288075038,228
2.846837594,-2.132972066,229
2.586875572,-2.068014944,230
2.561468469,-2.060569734,231
2.31666306,-1.770231818,232
2.413610056,-0.34389016,233
1.99869314,-0.436175573,234
1.977554824,-1.270275889,235
3.768060566,-1.511921259,236
2.531005481,-0.705706161,237
2.700424496,-1.011449481,238
3.015680804,-1.173241038,239
4.153352962,-2.112958833,240
2.160402584,-1.074950509,241
2.630637074,-2.287496127,242
2.69353249,-1.965332353,243
2.996367035,-1.76539374,244
2.478201552,-1.073974807,245
3.552644704,-2.303844587,246
4.079101696,-2.530426145,247
3.06557033,-2.403876808,248
3.705792131,-3.352630598,249
3.573523744,-2.673499063,250
3.509362149,-2.44969846,251
1.756805974,-3.014478982,252
3.451163796,-2.926927872,253
2.990862528,-2.334561351,254
3.570599973,-3.79788865,255
3.44586696,-2.632946804,256
2.863201995,-1.919061008,257
2.833066355,-1.865025561,258
2.60611756,-1.772453901,259
3.322083205,-2.036949021,260
4.011424266,-3.602732552,261
2.755063261,-2.144751614,262
3.182304683,-1.303347049,263
3.762001309,-3.069710436,264
2.707596083,-2.4320967,265
3.344309759,0.253229691,266
4.060122607,-3.876992471,267
3.304336194,-3.531905871,268
3.368322129,-3.598087538,269
3.046385995,-2.659634285,270
2.973714283,-0.111161228,271
3.589353312,-1.188438244,272
3.269628627,-3.241834096,273
2.585829926,-2.228866256,274
3.650441086,-3.830352941,275
2.685394094,-3.261307698,276
1.891069502,-2.31584336,277
3.115129038,-1.142260297,278
2.981467522,-1.982661487,279
2.025250127,-3.701153665,280
1.971187818,-2.949297231,281
1.965153902,-2.840353329,282
1.929581374,-1.938629738,283
2.230767405,-2.212574007,284
1.961904215,-1.457700962,285
1.677172888,-3.176440254,286
1.349548035,-3.954568421,287
1.408444202,-3.220845378,288
1.313192452,-2.015101349,289
1.148830528,-3.811858716,290
1.166810798,-4.073459161,291
1.297344549,-3.07270867,292
1.382134981,-1.521967331,293
0.590148156,-2.599045661,294
1.024964541,-1.929930146,295
0.891735111,-1.747522597,296
1.030022688,-2.238877088,297
