Date,TA_F_avg,VPD_F_avg,P_F_sum,shall_swc_interp,deep_swc_interp,PAR,VPD_F_min,VPD_F_max
1/1/2007,-4.973584255,0.098063085,1.53,NA,NA,NA,0.022115,0.303312
1/2/2007,-4.240173958,0.147774021,0.5,NA,NA,NA,0.025313,0.516632
1/3/2007,-0.771796458,0.280079083,0,NA,NA,NA,0.062051,0.76585
1/4/2007,2.528714792,0.35277075,0,NA,NA,NA,0.092021,0.816852
1/5/2007,-2.2553825,0.176572458,0,NA,NA,NA,0.043546,0.363214
1/6/2007,-5.956566875,0.159539125,1.78,NA,NA,NA,0.015687,0.386503
1/7/2007,-6.87865,0.202468833,0,NA,NA,NA,0.068498,0.400764
1/8/2007,1.312800833,0.401933708,0,NA,NA,NA,0.152814,0.82921
1/9/2007,-1.655048958,0.259827479,0,NA,NA,NA,0.084745,0.616832
1/10/2007,1.354278958,0.365655521,0,NA,NA,NA,0.063343,0.846647
1/11/2007,1.57472,0.299139187,0,NA,NA,NA,0.167018,0.532349
1/12/2007,1.327671042,0.090858125,3.56,NA,NA,NA,0.021797,0.158995
1/13/2007,-1.372460417,0.105628937,4.82,NA,NA,NA,0.026265,0.213669
1/14/2007,-10.81407458,0.065713896,0,NA,NA,NA,0.029054,0.140693
1/15/2007,-14.59672813,0.079920813,2.04,NA,NA,NA,0.02345,0.233741
1/16/2007,-11.75644604,0.152011042,0.5,NA,NA,NA,0.026735,0.331245
1/17/2007,-9.172366458,0.130112708,2.04,NA,NA,NA,0.04722,0.318974
1/18/2007,-4.993066458,0.24284325,0,NA,NA,NA,0.07417,0.707522
1/19/2007,-2.195452292,0.233039688,0,NA,NA,NA,0.081472,0.693238
1/20/2007,-5.136147708,0.04427225,0,NA,NA,NA,0.024932,0.078581
1/21/2007,-7.351236875,0.064705708,3.55,NA,NA,NA,0.013877,0.200677
1/22/2007,-9.096251667,0.080856021,3.56,NA,NA,NA,0.023938,0.247376
1/23/2007,-5.39969625,0.165043729,0.76,NA,NA,NA,0.025535,0.455756
1/24/2007,-3.127656458,0.217828583,0,NA,NA,NA,0.03712,0.651587
1/25/2007,-1.793205208,0.296005312,0,NA,NA,NA,0.072781,0.854131
1/26/2007,-2.954296667,0.298279604,0,NA,NA,NA,0.106626,0.640188
1/27/2007,-3.724135208,0.160355333,0,NA,NA,NA,0.054136,0.356891
1/28/2007,-2.902205625,0.245895979,0,NA,NA,NA,0.030649,0.527594
1/29/2007,-1.575629375,0.322880729,0,NA,NA,NA,0.17272,0.618115
1/30/2007,-4.04864625,0.143940458,0,NA,NA,NA,0.025477,0.373974
1/31/2007,-4.075760417,0.038899354,0.76,NA,NA,NA,0.016127,0.097784
2/1/2007,-10.01108021,0.068590125,0.51,NA,NA,NA,0.009392,0.127882
2/2/2007,-11.43495688,0.099240292,0,NA,NA,NA,0.027291,0.184743
2/3/2007,-4.609036042,0.235130354,5.59,NA,NA,NA,0.073769,0.476864
2/4/2007,0.047882917,0.390296958,2.28,NA,NA,NA,0.159147,0.852059
2/5/2007,1.126231875,0.340527188,0,NA,NA,NA,0.067764,0.857259
2/6/2007,3.738058333,0.430448562,0,NA,NA,NA,0.114956,1.03644
2/7/2007,3.697082292,0.440017438,0,NA,NA,NA,0.114607,0.978855
2/8/2007,3.375518958,0.44634225,0,NA,NA,NA,0.156637,0.888371
2/9/2007,3.140613542,0.432933729,0,NA,NA,NA,0.161901,0.7408
2/10/2007,2.813525,0.280360875,0,NA,NA,NA,0.138572,0.531396
2/11/2007,1.717572917,0.0935175,1.27,NA,NA,NA,0.010986,0.243408
2/12/2007,-0.823413958,0.084248958,7.37,NA,NA,NA,0.028664,0.21416
